open,high,low,close,volume,av_pr,diff,candle,7_day_SMA,30_day_SMA,7_day_EMA,30_day_EMA,RSI,12_day_EMA,26_day_EMA,MACD,Signal_Line,20_day_SMA,20_day_STD,Upper_Band,Lower_Band,lag_1,lag_2,lag_3
0.46797,0.46989,0.45007,0.46222,31676174.10000002,0.45998,-0.0057499999999999,0,0.46192714285714287,0.5532916666666666,0.4672347548515338,0.5316441532839548,35.37081941712037,0.4818625021717392,0.5226332992019683,-0.04077079703022912,-0.03959813504052097,0.5036595,0.03874555247481883,0.5811506049496377,0.42616839505036236,0.46796,0.45321,0.44575
0.46222,0.4954,0.452,0.4899,39873781.79999994,0.4737,0.0276799999999999,1,0.46316285714285715,0.5481986666666666,0.47290106613865035,0.5289509821043448,39.56015745336302,0.48309904029916395,0.5202086103721929,-0.03710957007302895,-0.03910042204702257,0.5003744999999999,0.03684878252291445,0.5740720650458289,0.426676934954171,0.46222,0.46796,0.45321
0.48913,0.52,0.47801,0.4844,44333181.59999998,0.499005,-0.00473,0,0.46764857142857147,0.541342,0.47577579960398775,0.5260767251943871,36.07457095565815,0.4832991879454464,0.5175561207149935,-0.034256932769547055,-0.038131724191527466,0.4981635,0.036388567214818465,0.5709406344296369,0.425386365570363,0.4899,0.46222,0.46796
0.48469,0.508,0.47941,0.49097,26722886.30000002,0.493705,0.00628,1,0.47063,0.535872,0.47957434970299084,0.523811775181846,39.38405956734371,0.4844793128769162,0.5155867784398087,-0.03110746556289251,-0.036726872465800475,0.4948275000000001,0.0335952635876891,0.5620180271753783,0.4276369728246219,0.4844,0.4899,0.46222
0.49155,0.50295,0.46887,0.4769,30689285.9,0.48591,-0.0146499999999999,0,0.47508,0.5292806666666666,0.47890576227724313,0.5207852090410817,37.805032776485525,0.483313264742006,0.512721091147971,-0.029407826405965065,-0.035263063253833396,0.49204349999999997,0.03259425510811107,0.5572320102162222,0.42685498978377784,0.49097,0.4844,0.4899
0.47772,0.48156,0.45747,0.47698,26805008.70000003,0.469515,-0.0007399999999999,0,0.4784757142857143,0.52271,0.4784243217079323,0.5179590665223023,48.59330871170976,0.4823389163201589,0.510073602914788,-0.027734686594629077,-0.03375738792199254,0.489255,0.03128788154507973,0.5518307630901594,0.42667923690984055,0.4769,0.49097,0.4844
0.47644,0.488,0.46381,0.48494,28584029.19999998,0.475905,0.0085,1,0.48090142857142865,0.5162893333333334,0.4800532412809492,0.5158288041660247,48.61284543134806,0.48273908304013446,0.5082118545507296,-0.025472771510595127,-0.032100464639713056,0.48719350000000006,0.03006187080969747,0.547317241619395,0.4270697583806051,0.47698,0.4769,0.49097
0.4852,0.48798,0.4751,0.47915,31480979.29999998,0.48154,-0.00605,0,0.48331999999999997,0.5098576666666667,0.4798274309607119,0.5134624297037006,51.68552297390903,0.4821869164185753,0.5060591245840089,-0.023872208165433617,-0.030454813344857168,0.484216,0.02753473756242417,0.5392854751248484,0.42914652487515165,0.48494,0.47698,0.4769
0.47872,0.48201,0.47015,0.473,26690553.60000002,0.47608,-0.00572,0,0.4809057142857143,0.503711,0.4781205732205339,0.510851950367978,47.59405074365703,0.4807735446618714,0.5036103005407491,-0.02283675587887768,-0.028931201851661273,0.480449,0.02309611402721004,0.5266412280544202,0.43425677194557993,0.47915,0.48494,0.47698
0.4728,0.47338,0.43866,0.44337,30651668.10000005,0.45602,-0.02943,0,0.4750442857142857,0.49908966666666665,0.4694329299154005,0.5064982761506892,47.21402534282241,0.47501915317542964,0.4991480560562491,-0.02412890288081948,-0.027970742057492917,0.4756595,0.020005609338382933,0.5156707186767658,0.43564828132323413,0.473,0.47915,0.48494
0.44247,0.45134,0.43957,0.44872,28635928.19999998,0.445455,0.00625,1,0.4690085714285714,0.49405066666666664,0.46425469743655035,0.5027706454312899,43.36354606406754,0.47097312960997895,0.49541264449652694,-0.024439514886547997,-0.027264496623303935,0.471367,0.01537435017026378,0.5021157003405275,0.4406182996594724,0.44337,0.473,0.47915
0.449,0.44932,0.4236,0.43675,30380599.49999994,0.4364599999999999,-0.0122499999999999,0,0.46327285714285715,0.490089,0.4573785230774128,0.49851124895185184,46.97377269670479,0.4657080327469053,0.4910672634227101,-0.02535923067580481,-0.026883443433804114,0.4690965,0.016967130227527882,0.5030307604550558,0.43516223954494426,0.44872,0.44337,0.473
0.43706,0.44509,0.43001,0.43754,33168644.29999998,0.43755,0.0004799999999999,1,0.4576385714285714,0.487053,0.4524188923080596,0.4945776199872163,44.48355981130746,0.46137448924738145,0.4871022809469538,-0.025727791699572344,-0.02665231308695776,0.466471,0.017604851574136163,0.5016807031482724,0.4312612968517277,0.43675,0.44872,0.44337
0.43761,0.4443,0.431,0.43864,27141582.29999995,0.43765,0.0010299999999999,1,0.4510242857142857,0.48308466666666666,0.44897416923104466,0.4909687412783636,38.580775821779085,0.45787687551701506,0.48351248235829053,-0.02563560684127547,-0.026448971837821304,0.4647374999999999,0.018576126975800123,0.5018897539516002,0.42758524604839965,0.43754,0.43675,0.44872
0.43864,0.45004,0.43509,0.44681,33882949.8,0.442565,0.00817,1,0.44640428571428575,0.48022566666666666,0.44843312692328346,0.4881197902281466,44.109777539943416,0.4561742792836281,0.4807937799613801,-0.024619500677752038,-0.02608307760580745,0.4630155,0.018561142624480654,0.5001377852489614,0.4258932147510387,0.43864,0.43754,0.43675
