datetime,open,high,low,close,volume,av_pr,diff,candle,7_day_SMA,30_day_SMA,7_day_EMA,30_day_EMA,RSI,12_day_EMA,26_day_EMA,MACD,Signal_Line,20_day_SMA,20_day_STD,Upper_Band,Lower_Band,lag_1,lag_2,lag_3
2025-01-25 01:00:00,3.1008,3.1446,3.0784,3.108,99489857.0,3.1115,0.0072,1,3.106628571428572,2.64075,3.1017660453760327,2.767459468571612,67.70819453697536,3.026782927537908,2.8121665121971504,0.2146164153407577,0.2072331554398137,2.832285,0.3821367835502179,3.596558567100436,2.068011432899564,3.1009,3.1194,3.1803
2025-01-26 01:00:00,3.1079,3.1443,3.0115,3.0223,128937813.0,3.0779,-0.0855999999999999,0,3.115714285714286,2.66994,3.0818995340320243,2.7839007931798947,67.08693643144763,3.0260932463782297,2.827731955738102,0.1983612906401277,0.2054587824798765,2.8624,0.3715210853264,3.6054421706528,2.1193578293472,3.108,3.1009,3.1194
2025-01-27 01:00:00,3.0222,3.0587,2.6559,3.0552,660056174.0,2.8573,0.0329999999999999,1,3.1085571428571432,2.69897,3.075224650524018,2.8014039678134504,67.39471619147267,3.0305712084738867,2.8445814404982426,0.1859897679756441,0.2015649795790301,2.9016,0.3463685305384561,3.5943370610769123,2.208862938923088,3.0223,3.108,3.1009
2025-01-28 01:00:00,3.0552,3.214,3.0062,3.0572,369470786.0,3.1101,0.0019999999999997,1,3.0919,2.73107,3.070718487893014,2.8179069376319377,64.0545021988321,3.0346679456317505,2.8603309634242984,0.174336982207452,0.1961193801047145,2.935805,0.324520009074132,3.5848450181482643,2.286764981851736,3.0552,3.0223,3.108
2025-01-29 01:00:00,3.0572,3.1363,2.9673,3.0683,254756655.0,3.0518,0.0110999999999998,1,3.0759000000000003,2.7647233333333334,3.07011386591976,2.834061328752458,45.95707782354214,3.0398421078422504,2.8757360772447207,0.1641060305975297,0.1897167102032775,2.97561,0.2852926528837973,3.5461953057675943,2.405024694232405,3.0572,3.0552,3.0223
2025-01-30 01:00:00,3.0683,3.1544,3.0466,3.1276,173143314.0,3.1005000000000003,0.0593000000000003,1,3.0770714285714287,2.7995233333333336,3.08448539943982,2.852999307542622,43.32158690462659,3.053343322020366,2.894392664115482,0.1589506579048838,0.1835634997435988,3.01492,0.2445639698901339,3.504047939780268,2.5257920602197323,3.0683,3.0572,3.0552
2025-01-31 01:00:00,3.1276,3.1333,3.003,3.0361,162235322.0,3.06815,-0.0915000000000003,0,3.0678142857142854,2.8229666666666664,3.0723890495798645,2.8648122554430984,36.14327453738773,3.050690503248002,2.9048895038106317,0.1458009994373705,0.1760109996823532,3.037905,0.2217160072444531,3.481337014488906,2.5944729855110937,3.1276,3.0683,3.0572
2025-02-01 01:00:00,3.0361,3.0727,2.8281,2.8778,173601404.0,2.9504,-0.1582999999999996,0,3.0349285714285714,2.8388133333333334,3.0237417871848984,2.86565017444677,31.512406830833115,3.0240919642867707,2.9028828738987325,0.1212090903880382,0.1650506178234902,3.056565,0.1875404862254698,3.4316459724509394,2.681484027549061,3.0361,3.1276,3.0683
2025-02-02 01:00:00,2.8779,2.9559,2.4603,2.58,684089012.0,2.7081,-0.2978999999999998,0,2.971742857142857,2.84299,2.912806340388674,2.847221130934076,31.909811789433466,2.9557701236272678,2.878965623980308,0.0768044996469594,0.147401394188184,3.059405,0.1792868782441362,3.4179787564882727,2.700831243511727,2.8778,3.0361,3.1276
2025-02-03 01:00:00,2.5801,2.7814,1.7711,2.7001,1866758972.0,2.27625,0.1200000000000001,1,2.9210142857142856,2.852323333333333,2.8596297552915058,2.8377294450673607,30.141148794354024,2.916436258453841,2.8657163185002847,0.0507199399535567,0.1280651033412586,3.061045,0.1756239807237741,3.412292961447548,2.709797038552452,2.58,2.8778,3.0361
2025-02-04 01:00:00,2.7,2.7874,2.4209,2.5274,621552965.0,2.60415,-0.1726000000000001,0,2.8453285714285714,2.85659,2.7765723164686293,2.8177081905468864,21.2557808609036,2.85658452638402,2.8406558504632264,0.0159286759207932,0.1056378178571655,3.03027,0.2109086359939854,3.4520872719879714,2.608452728012029,2.7001,2.58,2.8778
2025-02-05 01:00:00,2.5275,2.5692,2.3384,2.381,338815093.0,2.4538,-0.1465,0,2.7471428571428573,2.85529,2.677679237351472,2.78953346857612,18.38962271612749,2.783417676171094,2.806607268947432,-0.0231895927763381,0.0798723357304648,2.9870650000000003,0.2495504131644097,3.48616582632882,2.487964173671181,2.5274,2.7001,2.58
